"","Type","Price","MPG.highway","DriveTrain"
"1","Small",15.9,31,"Front"
"2","Midsize",33.9,25,"Front"
"3","Compact",29.1,26,"Front"
"4","Midsize",37.7,26,"Front"
"5","Midsize",30,30,"Rear"
"6","Midsize",15.7,31,"Front"
"7","Large",20.8,28,"Front"
"8","Large",23.7,25,"Rear"
"9","Midsize",26.3,27,"Front"
"10","Large",34.7,25,"Front"
"11","Midsize",40.1,25,"Front"
"12","Compact",13.4,36,"Front"
"13","Compact",11.4,34,"Front"
"14","Sporty",15.1,28,"Rear"
"15","Midsize",15.9,29,"Front"
"16","Van",16.3,23,"Front"
"17","Van",16.6,20,"4WD"
"18","Large",18.8,26,"Rear"
"19","Sporty",38,25,"Rear"
"20","Large",18.4,28,"Front"
"21","Compact",15.8,28,"Front"
"22","Large",29.5,26,"Front"
"23","Small",9.2,33,"Front"
"24","Small",11.3,29,"Front"
"25","Compact",13.3,27,"Front"
"26","Van",19,21,"4WD"
"27","Midsize",15.6,27,"Front"
"28","Sporty",25.8,24,"4WD"
"29","Small",12.2,33,"Front"
"30","Large",19.3,28,"Front"
"31","Small",7.4,33,"Front"
"32","Small",10.1,30,"Front"
"33","Compact",11.3,27,"Front"
"34","Sporty",15.9,29,"Rear"
"35","Sporty",14,30,"Front"
"36","Van",19.9,20,"4WD"
"37","Midsize",20.2,30,"Front"
"38","Large",20.9,26,"Rear"
"39","Small",8.4,50,"Front"
"40","Sporty",12.5,36,"Front"
"41","Sporty",19.8,31,"Front"
"42","Small",12.1,46,"Front"
"43","Compact",17.5,31,"Front"
"44","Small",8,33,"Front"
"45","Small",10,29,"Front"
"46","Sporty",10,34,"Front"
"47","Midsize",13.9,27,"Front"
"48","Midsize",47.9,22,"Rear"
"49","Midsize",28,24,"Front"
"50","Midsize",35.2,23,"Rear"
"51","Midsize",34.3,26,"Front"
"52","Large",36.1,26,"Rear"
"53","Small",8.3,37,"Front"
"54","Small",11.6,36,"Front"
"55","Compact",16.5,34,"Front"
"56","Van",19.1,24,"4WD"
"57","Sporty",32.5,25,"Rear"
"58","Compact",31.9,29,"Rear"
"59","Midsize",61.9,25,"Rear"
"60","Sporty",14.1,26,"Front"
"61","Midsize",14.9,26,"Rear"
"62","Small",10.3,33,"Front"
"63","Midsize",26.1,24,"Front"
"64","Small",11.8,33,"Front"
"65","Compact",15.7,30,"Front"
"66","Van",19.1,23,"Front"
"67","Midsize",21.5,26,"Front"
"68","Compact",13.5,31,"Front"
"69","Midsize",16.3,31,"Front"
"70","Van",19.5,23,"Front"
"71","Large",20.7,28,"Front"
"72","Sporty",14.4,30,"4WD"
"73","Small",9,41,"Front"
"74","Compact",11.1,31,"Front"
"75","Sporty",17.7,28,"Rear"
"76","Midsize",18.5,27,"Front"
"77","Large",24.4,28,"Front"
"78","Compact",28.7,26,"Front"
"79","Small",11.1,38,"Front"
"80","Small",8.4,37,"4WD"
"81","Small",10.9,30,"4WD"
"82","Compact",19.5,30,"4WD"
"83","Small",8.6,43,"Front"
"84","Small",9.8,37,"Front"
"85","Sporty",18.4,32,"Front"
"86","Midsize",18.2,29,"Front"
"87","Van",22.7,22,"4WD"
"88","Small",9.1,33,"Front"
"89","Van",19.7,21,"Front"
"90","Compact",20,30,"Front"
"91","Sporty",23.3,25,"Front"
"92","Compact",22.7,28,"Rear"
"93","Midsize",26.7,28,"Front"
